ID;N_VICTIMAS;FECHA;AAAA;MES;DIA;HORA;LUGAR_DEL_HECHO;TIPO_DE_CALLE;Calle;pos x;pos y;Rango Horario;Tipo de Incidente;PARTICIPANTES;VICTIMA;ACUSADO;ROL_VICTIMA;SEXO_VICTIMA;EDAD_VICTIMA;FECHA_FALLECIMIENTO;Semestre;DiaDeLaSemana;COMUNA;Rango Horario Asignado
"2016-0001";1;2016-01-01 00:00:00,000;2016;"1";1;1899-12-30 04:00:00,000;"AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ";"AVENIDA";"PIEDRA BUENA AV.";"-58.47533969";"-34.68757022";"Trasnoche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"19";"2016-01-01 00:00:00";"Primer Semestre";"viernes";8;"4:00 - 6:00"
"2016-0003";1;2016-01-03 00:00:00,000;2016;"1";3;1899-12-30 07:00:00,000;"AV ENTRE RIOS 2034";"AVENIDA";"ENTRE RIOS AV.";"-58.39040293";"-34.63189362";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"30";"2016-01-03 00:00:00";"Primer Semestre";"domingo";1;"6:00 - 8:00"
"2016-0010";1;2016-01-29 00:00:00,000;2016;"1";29;1899-12-30 15:20:00,000;"AV GENERAL PAZ Y AV DE LOS CORRALES";"GRAL PAZ";"PAZ, GRAL. AV.";"-58.50877521";"-34.66977709";"Tarde";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"18";"2016-01-29 00:00:00";"Primer Semestre";"viernes";9;"14:00 - 16:00"
"2016-0081";1;2016-06-22 00:00:00,000;2016;"6";22;1899-12-30 07:42:00,000;"AV CRISOLOGO LARRALDE Y MACHAIN";"AVENIDA";"LARRALDE, CRISOLOGO AV.";"-58.48721060";"-34.55904606";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"40";"SD";"Primer Semestre";"miércoles";12;"6:00 - 8:00"
"2016-0095";1;2016-07-23 00:00:00,000;2016;"7";23;1899-12-30 06:12:00,000;"MERCEDES Y AV GRAL MOSCONI";"AVENIDA";"MERCEDES";"-58.51713095";"-34.59546519";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"29";"2016-07-23 00:00:00";"Segundo Semestre";"sábado";11;"6:00 - 8:00"
"2016-0107";1;2016-08-20 00:00:00,000;2016;"8";20;1899-12-30 08:22:00,000;"AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA";"AUTOPISTA";"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI";"-58.37157668";"-34.65429986";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"21";"SD";"Segundo Semestre";"sábado";4;"8:00 - 10:00"
"2016-0116";1;2016-09-02 00:00:00,000;2016;"9";2;1899-12-30 20:20:00,000;"AV 27 DE FEBRERO Y AV ESCALADA";"AVENIDA";"27 DE FEBRERO AV.";"-58.44451316";"-34.68475866";"Noche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"30";"2016-09-02 00:00:00";"Segundo Semestre";"viernes";8;"20:00 - 22:00"
"2016-0133";1;2016-10-14 00:00:00,000;2016;"10";14;1899-12-30 00:05:00,000;"AV LAS HERAS Y SANCHEZ DE BUSTAMANTE";"AVENIDA";"LAS HERAS GENERAL AV.";"-58.40204698";"-34.58342690";"Trasnoche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"41";"2016-10-25 00:00:00";"Segundo Semestre";"viernes";14;"0:00 - 2:00"
"2016-0145";1;2016-11-07 00:00:00,000;2016;"11";7;1899-12-30 20:56:00,000;"AV DEL LIBERTADOR Y LA PAMPA";"AVENIDA";"DEL LIBERTADOR AV.";"-58.44523595";"-34.55953855";"Noche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"39";"2016-11-07 00:00:00";"Segundo Semestre";"lunes";13;"20:00 - 22:00"
"2016-0152";1;2016-11-23 00:00:00,000;2016;"11";23;1899-12-30 21:10:00,000;"AV PERITO MORENO Y ZUVIRIA";"AVENIDA";"MORENO, PERITO AV.";"-58.46451841";"-34.64991946";"Noche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"42";"2016-11-24 00:00:00";"Segundo Semestre";"miércoles";7;"20:00 - 22:00"
"2016-0163";1;2016-12-10 00:00:00,000;2016;"12";10;1899-12-30 07:30:00,000;"AV GRAL PAZ Y AV GENERAL MOSCONI";"GRAL PAZ";"PAZ, GRAL. AV.";"-58.52340614";"-34.59798754";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"23";"SD";"Segundo Semestre";"sábado";11;"6:00 - 8:00"
"2016-0168";1;2016-12-13 00:00:00,000;2016;"12";13;1899-12-30 10:40:00,000;"AV LA PLATA Y CNEL GREGORIO POMAR";"AVENIDA";"LA PLATA AV.";"-58.42323628";"-34.64119105";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"43";"2016-12-13 00:00:00";"Segundo Semestre";"martes";4;"10:00 - 12:00"
"2017-0010";1;2017-01-16 00:00:00,000;2017;"1";16;1899-12-30 16:30:00,000;"AV. DIRECTORIO Y RIGLOS";"AVENIDA";"DIRECTORIO AV.";"-58.43564880";"-34.62828656";"Tarde";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"23";"2017-01-16 00:00:00";"Primer Semestre";"lunes";6;"16:00 - 18:00"
"2017-0017";1;2017-02-06 00:00:00,000;2017;"2";6;1899-12-30 08:00:00,000;"AV. JUAN B JUSTO Y PARAGUAY";"AVENIDA";"JUSTO, JUAN B. AV.";"-58.42901200";"-34.58095431";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"32";"2017-02-06 00:00:00";"Primer Semestre";"lunes";14;"8:00 - 10:00"
"2017-0018";1;2017-02-09 00:00:00,000;2017;"2";9;1899-12-30 07:00:00,000;"AV. GRAL. PAZ Y AV. DE LOS CORRALES";"GRAL PAZ";"PAZ, GRAL. AV.";"-58.50877521";"-34.66977709";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"30";"2017-02-09 00:00:00";"Primer Semestre";"jueves";9;"6:00 - 8:00"
"2017-0041";1;2017-04-03 00:00:00,000;2017;"4";3;1899-12-30 23:15:00,000;"BALDOMERO FERNANDEZ MORENO 2186";"CALLE";"FERNANDEZ MORENO, BALDOMERO";"-58.45485084";"-34.63531854";"Noche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"17";"SD";"Primer Semestre";"lunes";7;"22:00 - 0:00"
"2017-0047";1;2017-04-23 00:00:00,000;2017;"4";23;1899-12-30 06:30:00,000;"AV. ARGENTINA Y AV. CORVALAN";"AVENIDA";"ARGENTINA AV.";"-58.46713742";"-34.67198790";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"37";"2017-04-23 00:00:00";"Primer Semestre";"domingo";8;"6:00 - 8:00"
"2017-0073";1;2017-06-04 00:00:00,000;2017;"6";4;1899-12-30 09:00:00,000;"AV. CORRIENTES Y ECUADOR";"AVENIDA";"CORRIENTES AV.";"-58.40781467";"-34.60425669";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"19";"2017-06-04 00:00:00";"Primer Semestre";"domingo";3;"8:00 - 10:00"
"2017-0095";1;2017-08-06 00:00:00,000;2017;"8";6;1899-12-30 08:00:00,000;"AV. CORDOBA Y JERONIMO SALGUERO";"AVENIDA";"CORDOBA AV.";"-58.41894306";"-34.59778875";"Mañana";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"36";"2017-08-06 00:00:00";"Segundo Semestre";"domingo";14;"8:00 - 10:00"
"2017-0109";1;2017-09-04 00:00:00,000;2017;"9";4;1899-12-30 21:00:00,000;"AV. DIRECTORIO Y PORTELA";"AVENIDA";"DIRECTORIO AV.";"-58.47130269";"-34.63665402";"Noche";"Homicidio";"MOTO-AUTO";"MOTO";"AUTO";"CONDUCTOR";"MASCULINO";"21";"2017-09-05 00:00:00";"Segundo Semestre";"lunes";7;"20:00 - 22:00"
